user_id,recency,frequency,monetary,r_score,f_score,m_score,segment
17,2,1,1.9,3,1,1,一般发展客户
20,2,1,5.5,3,1,2,重要发展客户
33,3,3,4.2,2,2,2,重要价值客户
50,0,19,25.9,3,3,3,重要价值客户
105,6,3,4.8,1,2,2,重要保持客户
110,5,1,1.0,1,1,1,一般挽留客户
119,4,3,3.3,2,2,1,一般价值客户
121,8,1,4.9,1,1,2,重要挽留客户
123,1,2,2.6,3,2,1,一般价值客户
126,4,1,1.0,2,1,1,一般发展客户
137,1,1,1.9,3,1,1,一般发展客户
150,1,5,7.1,3,3,2,重要价值客户
165,8,1,1.0,1,1,1,一般挽留客户
168,0,2,2.0,3,2,1,一般价值客户
190,1,7,15.1,3,3,3,重要价值客户
209,1,3,5.4,3,2,2,重要价值客户
225,3,4,6.1,2,3,2,重要价值客户
226,4,3,7.5,2,2,2,重要价值客户
227,0,2,3.5,3,2,1,一般价值客户
240,0,3,3.9,3,2,2,重要价值客户
255,5,2,2.3,1,2,1,一般保持客户
268,4,1,2.5,2,1,1,一般发展客户
275,0,3,3.6,3,2,1,一般价值客户
284,0,7,7.6,3,3,3,重要价值客户
285,6,1,1.6,1,1,1,一般挽留客户
290,2,3,3.0,3,2,1,一般价值客户
298,2,1,1.0,3,1,1,一般发展客户
307,5,2,2.0,1,2,1,一般保持客户
318,3,2,2.3,2,2,1,一般价值客户
321,0,4,5.2,3,3,2,重要价值客户
322,0,10,10.6,3,3,3,重要价值客户
331,1,3,3.3,3,2,1,一般价值客户
339,5,5,7.4,1,3,2,重要保持客户
351,1,3,9.3,3,2,3,重要价值客户
364,5,1,1.3,1,1,1,一般挽留客户
370,4,1,3.1,2,1,1,一般发展客户
371,4,1,1.6,2,1,1,一般发展客户
376,1,4,5.5,3,3,2,重要价值客户
378,0,3,3.6,3,2,1,一般价值客户
385,0,3,5.4,3,2,2,重要价值客户
400,7,4,4.0,1,3,2,重要保持客户
409,7,3,3.9,1,2,2,重要保持客户
410,1,6,6.3,3,3,2,重要价值客户
413,1,4,4.0,3,3,2,重要价值客户
423,0,2,2.0,3,2,1,一般价值客户
428,0,3,3.3,3,2,1,一般价值客户
433,2,3,6.0,3,2,2,重要价值客户
435,0,10,10.0,3,3,3,重要价值客户
468,7,3,3.9,1,2,2,重要保持客户
476,0,11,11.6,3,3,3,重要价值客户
480,0,2,3.8,3,2,2,重要价值客户
484,1,3,10.5,3,2,3,重要价值客户
493,6,1,3.1,1,1,1,一般挽留客户
494,2,3,3.6,3,2,1,一般价值客户
517,0,3,11.1,3,2,3,重要价值客户
523,1,4,6.1,3,3,2,重要价值客户
532,2,3,8.1,3,2,3,重要价值客户
536,1,4,4.9,3,3,2,重要价值客户
561,2,3,3.0,3,2,1,一般价值客户
562,0,1,5.5,3,1,2,重要发展客户
590,0,2,2.0,3,2,1,一般价值客户
597,2,3,14.1,3,2,3,重要价值客户
613,2,1,1.0,3,1,1,一般发展客户
614,7,1,1.0,1,1,1,一般挽留客户
623,0,3,3.9,3,2,2,重要价值客户
627,0,2,2.0,3,2,1,一般价值客户
636,5,2,2.0,1,2,1,一般保持客户
704,0,5,15.5,3,3,3,重要价值客户
721,0,5,5.0,3,3,2,重要价值客户
735,8,4,4.0,1,3,2,重要保持客户
753,1,6,7.5,3,3,2,重要价值客户
755,3,2,2.0,2,2,1,一般价值客户
764,2,3,4.5,3,2,2,重要价值客户
834,0,2,5.3,3,2,2,重要价值客户
843,4,1,3.1,2,1,1,一般发展客户
851,1,2,2.0,3,2,1,一般价值客户
879,3,2,3.2,2,2,1,一般价值客户
