category_id,category_pv,item_id,item_pv,item_buy,rank_in_category
4756105,1369859,812879,9083,40,1
4756105,1369859,4211339,5196,22,2
4756105,1369859,4649427,4747,15,3
4756105,1369859,3920968,3777,23,4
4756105,1369859,2364679,3614,24,5
4145813,957987,2828948,3019,20,1
4145813,957987,232919,1994,54,2
4145813,957987,3114069,1955,19,3
4145813,957987,3858178,1646,15,4
4145813,957987,2732505,1570,23,5
2355072,942504,987143,4774,14,1
2355072,942504,3520504,4081,34,2
2355072,942504,640975,4009,22,3
2355072,942504,393880,2878,29,4
2355072,942504,4793966,2284,4,5
3607361,885238,3845720,7797,33,1
3607361,885238,138964,6358,31,2
3607361,885238,2331370,5909,38,3
3607361,885238,2338453,5086,54,4
3607361,885238,4091349,3516,26,5
982926,844666,2818406,4708,27,1
982926,844666,3077270,2939,21,2
982926,844666,1541734,2810,13,3
982926,844666,1402604,2715,74,4
982926,844666,5057288,2529,51,5
2520377,607148,2319849,2231,7,1
2520377,607148,1234475,1515,9,2
2520377,607148,1848520,1382,10,3
2520377,607148,1282510,1340,1,4
2520377,607148,250120,1327,0,5
4801426,562879,1583704,4422,40,1
4801426,562879,3563468,3527,27,2
4801426,562879,2521928,2786,44,3
4801426,562879,4946821,2353,32,4
4801426,562879,3244134,2336,72,5
1320293,534990,1591862,4889,0,1
1320293,534990,395399,2509,44,2
1320293,534990,4637129,2052,7,3
1320293,534990,587994,1999,9,4
1320293,534990,3935628,1937,13,5
2465336,456828,866111,2625,24,1
2465336,456828,3148330,1507,17,2
2465336,456828,779670,1425,15,3
2465336,456828,2466347,1143,10,4
2465336,456828,4390212,1058,5,5
3002561,429431,1913065,1883,4,1
3002561,429431,5083191,1834,21,2
3002561,429431,3074497,1669,26,3
3002561,429431,247914,1518,14,4
3002561,429431,3981393,1280,23,5
